iter	Passed	Remaining
0	0	31
1	0	29
2	0	28
3	1	27
4	1	26
5	1	25
6	1	25
7	2	24
8	2	24
9	2	24
10	2	23
11	3	23
12	3	23
13	3	23
14	4	23
15	4	22
16	4	22
17	4	22
18	5	22
19	5	22
20	6	22
21	6	22
22	6	22
23	7	22
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	19	10
65	19	9
66	19	9
67	19	9
68	20	9
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	24	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	29	0
