iter	Passed	Remaining
0	0	584
1	0	488
2	1	415
3	1	378
4	1	358
5	2	337
6	2	340
7	2	338
8	3	343
9	3	336
10	3	336
11	4	330
12	4	331
13	4	327
14	4	324
15	5	321
16	5	316
17	5	317
18	6	315
19	6	312
20	6	309
21	6	308
22	7	306
23	7	304
24	7	302
25	8	303
26	8	305
27	8	305
28	9	302
29	9	300
30	9	299
31	9	298
32	10	297
33	10	299
34	10	298
35	11	299
36	11	298
37	11	298
38	12	296
39	12	295
40	12	294
41	12	293
42	13	293
43	13	292
44	13	291
45	14	290
46	14	290
47	14	290
48	14	290
49	15	289
50	15	288
51	15	287
52	16	287
53	16	287
54	16	285
55	16	284
56	17	285
57	17	284
58	17	282
59	17	281
60	18	279
61	18	279
62	19	289
63	19	288
64	19	287
65	20	286
66	20	285
67	20	284
68	20	282
69	21	281
70	21	282
71	21	281
72	22	280
73	22	279
74	22	278
75	22	277
76	23	277
77	23	277
78	23	276
79	24	276
80	24	275
81	24	275
82	24	272
83	24	271
84	25	271
85	25	271
86	25	270
87	26	270
88	26	269
89	26	270
90	26	269
91	27	269
92	27	268
93	27	267
94	28	267
95	28	266
96	28	266
97	28	265
98	29	265
99	29	264
100	29	263
101	29	263
102	30	262
103	30	261
104	30	261
105	30	260
106	31	260
107	31	261
108	31	260
109	32	260
110	32	260
111	32	260
112	33	259
113	33	260
114	33	259
115	34	259
116	34	258
117	34	257
118	34	257
119	34	256
120	35	256
121	35	255
122	35	254
123	36	254
124	36	254
125	36	254
126	36	253
127	37	252
128	37	252
129	37	252
130	38	252
131	38	251
132	38	251
133	38	250
134	39	250
135	39	250
136	39	249
137	39	249
138	40	249
139	40	248
140	40	248
141	40	246
142	41	246
143	41	245
144	41	245
145	41	244
146	42	244
147	42	243
148	42	243
149	42	242
150	43	242
151	43	242
152	43	242
153	44	241
154	44	241
155	44	241
156	44	240
157	45	240
158	45	240
159	45	239
160	45	238
161	46	238
162	46	238
163	46	238
164	47	238
165	47	237
166	47	237
167	47	237
168	48	237
169	48	237
170	48	236
171	49	236
172	49	236
173	49	235
174	49	235
175	50	235
176	50	234
177	50	235
178	51	235
179	51	234
180	51	234
181	52	233
182	52	233
183	52	232
184	52	232
185	53	232
186	53	231
187	53	231
188	53	231
189	54	230
190	54	230
191	54	230
192	54	229
193	55	229
194	55	229
195	56	229
196	56	229
197	56	229
198	56	228
199	57	228
200	57	228
201	57	228
202	58	228
203	58	228
204	58	228
205	59	227
206	59	227
207	59	227
208	60	227
209	60	226
210	60	226
211	60	226
212	61	226
213	61	226
214	61	225
215	62	225
216	62	225
217	62	225
218	63	225
219	63	225
220	63	225
221	64	224
222	64	224
223	64	224
224	64	223
225	65	223
226	65	222
227	65	222
228	65	222
229	66	221
230	66	221
231	66	220
232	67	220
233	67	220
234	67	220
235	67	219
236	68	219
237	68	219
238	68	218
239	68	218
240	69	218
241	69	217
242	69	217
243	70	217
244	70	217
245	70	216
246	71	216
247	71	216
248	71	215
249	71	215
250	72	215
251	72	215
252	72	214
253	73	214
254	73	214
255	73	214
256	73	213
257	74	213
258	74	213
259	74	212
260	75	212
261	75	212
262	75	212
263	75	211
264	76	211
265	76	211
266	76	210
267	77	210
268	77	210
269	77	210
270	78	210
271	78	210
272	79	210
273	79	210
274	79	210
275	79	209
276	80	209
277	80	208
278	80	208
279	81	208
280	81	208
281	81	207
282	82	207
283	82	207
284	82	207
285	82	206
286	83	206
287	83	206
288	83	205
289	83	205
290	84	205
291	84	204
292	84	204
293	84	204
294	85	203
295	85	203
296	85	203
297	86	202
298	86	202
299	86	202
300	87	202
301	87	201
302	87	201
303	87	201
304	88	200
305	88	200
306	88	200
307	89	200
308	89	199
309	89	199
310	89	198
311	90	198
312	90	198
313	90	198
314	90	197
315	91	198
316	92	198
317	92	198
318	92	197
319	92	197
320	93	197
321	93	196
322	93	196
323	94	196
324	94	196
325	94	195
326	95	195
327	95	195
328	95	195
329	96	194
330	96	194
331	96	194
332	96	194
333	97	193
334	97	193
335	97	193
336	98	192
337	98	192
338	98	192
339	98	191
340	99	191
341	99	191
342	99	190
343	99	190
344	100	190
345	100	189
346	100	189
347	100	189
348	101	188
349	101	188
350	101	188
351	102	187
352	102	187
353	102	187
354	102	186
355	103	186
356	103	186
357	103	186
358	104	185
359	104	185
360	104	185
361	104	184
362	105	184
363	105	184
364	105	184
365	106	183
366	106	183
367	106	183
368	106	182
369	107	182
370	107	182
371	108	182
372	108	182
373	108	181
374	108	181
375	109	181
376	109	180
377	109	180
378	110	180
379	110	180
380	110	179
381	110	179
382	111	179
383	111	178
384	111	178
385	112	178
386	112	177
387	112	177
388	112	177
389	113	177
390	113	176
391	113	176
392	114	176
393	114	175
394	114	175
395	114	175
396	115	175
397	115	174
398	115	174
399	116	174
400	116	173
401	116	173
402	116	173
403	117	172
404	117	172
405	117	172
406	118	172
407	118	171
408	118	171
409	118	171
410	119	171
411	119	170
412	119	170
413	120	170
414	120	169
415	120	169
416	121	169
417	121	168
418	121	168
419	121	168
420	122	168
421	122	168
422	123	167
423	123	167
424	123	167
425	123	167
426	124	166
427	124	166
428	124	166
429	125	166
430	125	165
431	125	165
432	126	165
433	126	165
434	126	164
435	127	164
436	127	164
437	127	164
438	128	163
439	128	163
440	128	163
441	128	162
442	129	162
443	129	162
444	129	162
445	130	161
446	130	161
447	130	161
448	131	161
449	131	160
450	131	160
451	132	160
452	132	159
453	132	159
454	133	159
455	133	159
456	133	158
457	133	158
458	134	158
459	134	157
460	134	157
461	135	157
462	135	156
463	135	156
464	135	156
465	136	155
466	136	155
467	136	155
468	136	154
469	137	154
470	137	154
471	137	154
472	137	153
473	138	153
474	138	153
475	138	152
476	139	152
477	139	152
478	139	152
479	140	151
480	140	151
481	140	151
482	140	150
483	141	150
484	141	150
485	141	150
486	142	149
487	142	149
488	142	149
489	143	148
490	143	148
491	143	148
492	143	147
493	144	147
494	144	147
495	144	147
496	144	146
497	145	146
498	145	146
499	145	145
500	146	145
501	146	145
502	146	144
503	146	144
504	147	144
505	147	143
506	147	143
507	147	143
508	148	142
509	148	142
510	148	142
511	149	142
512	149	141
513	149	141
514	150	141
515	150	140
516	150	140
517	150	140
518	151	140
519	151	139
520	151	139
521	151	139
522	152	138
523	152	138
524	152	138
525	153	137
526	153	137
527	153	137
528	154	137
529	154	136
530	154	136
531	154	136
532	155	135
533	155	135
534	155	135
535	156	135
536	156	134
537	156	134
538	157	134
539	157	134
540	157	133
541	157	133
542	158	133
543	158	132
544	158	132
545	159	132
546	159	131
547	159	131
548	159	131
549	160	131
550	160	130
551	160	130
552	161	130
553	161	129
554	161	129
555	161	129
556	162	129
557	162	128
558	162	128
559	163	128
560	163	127
561	163	127
562	163	127
563	164	126
564	164	126
565	164	126
566	164	125
567	165	125
568	165	125
569	165	125
570	166	124
571	166	124
572	166	124
573	167	123
574	167	123
575	167	123
576	168	123
577	168	122
578	168	122
579	169	122
580	169	122
581	169	121
582	170	121
583	170	121
584	170	121
585	170	120
586	171	120
587	171	120
588	171	119
589	171	119
590	172	119
591	172	118
592	172	118
593	173	118
594	173	118
595	173	117
596	173	117
597	174	117
598	174	116
599	174	116
600	175	116
601	175	115
602	175	115
603	175	115
604	176	115
605	176	114
606	176	114
607	177	114
608	177	113
609	177	113
610	178	113
611	178	113
612	178	112
613	178	112
614	179	112
615	179	111
616	179	111
617	180	111
618	180	111
619	180	110
620	180	110
621	181	110
622	181	110
623	182	109
624	182	109
625	182	109
626	183	109
627	183	108
628	184	108
629	184	108
630	184	107
631	185	107
632	185	107
633	185	107
634	186	106
635	186	106
636	186	106
637	186	106
638	187	105
639	187	105
640	187	105
641	187	104
642	188	104
643	188	104
644	188	103
645	188	103
646	189	103
647	189	102
648	189	102
649	190	102
650	190	102
651	190	101
652	190	101
653	191	101
654	191	100
655	191	100
656	192	100
657	192	99
658	192	99
659	192	99
660	193	99
661	193	98
662	193	98
663	194	98
664	194	97
665	194	97
666	194	97
667	195	96
668	195	96
669	195	96
670	196	96
671	196	95
672	196	95
673	197	95
674	197	95
675	197	94
676	198	94
677	198	94
678	198	94
679	199	93
680	199	93
681	199	93
682	200	92
683	200	92
684	200	92
685	201	92
686	201	91
687	201	91
688	201	91
689	202	90
690	202	90
691	202	90
692	202	89
693	203	89
694	203	89
695	203	89
696	204	88
697	204	88
698	204	88
699	204	87
700	205	87
701	205	87
702	205	86
703	206	86
704	206	86
705	206	86
706	206	85
707	207	85
708	207	85
709	207	84
710	208	84
711	208	84
712	208	84
713	208	83
714	209	83
715	209	83
716	209	82
717	210	82
718	210	82
719	210	81
720	211	81
721	211	81
722	211	81
723	211	80
724	212	80
725	212	80
726	212	79
727	213	79
728	213	79
729	213	79
730	213	78
731	214	78
732	214	78
733	214	77
734	215	77
735	215	77
736	215	76
737	216	76
738	216	76
739	216	76
740	216	75
741	217	75
742	217	75
743	217	74
744	218	74
745	218	74
746	218	74
747	218	73
748	219	73
749	219	73
750	219	72
751	219	72
752	220	72
753	220	71
754	220	71
755	220	71
756	221	71
757	221	70
758	221	70
759	222	70
760	222	69
761	222	69
762	222	69
763	223	68
764	223	68
765	223	68
766	223	68
767	224	67
768	224	67
769	224	67
770	224	66
771	225	66
772	225	66
773	225	65
774	226	65
775	226	65
776	226	65
777	226	64
778	227	64
779	227	64
780	227	63
781	227	63
782	228	63
783	228	62
784	228	62
785	229	62
786	229	62
787	229	61
788	229	61
789	230	61
790	230	60
791	230	60
792	231	60
793	231	60
794	231	59
795	231	59
796	232	59
797	232	58
798	232	58
799	233	58
800	233	57
801	233	57
802	233	57
803	234	57
804	234	56
805	234	56
806	234	56
807	235	55
808	235	55
809	235	55
810	236	55
811	236	54
812	236	54
813	236	54
814	237	53
815	237	53
816	237	53
817	237	52
818	238	52
819	238	52
820	238	52
821	239	51
822	239	51
823	239	51
824	239	50
825	240	50
826	240	50
827	240	49
828	240	49
829	241	49
830	241	49
831	241	48
832	241	48
833	242	48
834	242	47
835	242	47
836	243	47
837	243	47
838	243	46
839	243	46
840	244	46
841	244	45
842	244	45
843	244	45
844	245	44
845	245	44
846	245	44
847	246	44
848	246	43
849	246	43
850	246	43
851	247	42
852	247	42
853	247	42
854	248	42
855	248	41
856	248	41
857	248	41
858	249	40
859	249	40
860	249	40
861	249	40
862	250	39
863	250	39
864	250	39
865	251	38
866	251	38
867	251	38
868	251	37
869	252	37
870	252	37
871	252	37
872	253	36
873	253	36
874	253	36
875	253	35
876	254	35
877	254	35
878	254	35
879	254	34
880	255	34
881	255	34
882	255	33
883	256	33
884	256	33
885	256	33
886	256	32
887	257	32
888	257	32
889	257	31
890	258	31
891	258	31
892	258	30
893	258	30
894	259	30
895	259	30
896	259	29
897	259	29
898	260	29
899	260	28
900	261	28
901	261	28
902	261	28
903	261	27
904	262	27
905	262	27
906	262	26
907	263	26
908	263	26
909	263	26
910	264	25
911	264	25
912	264	25
913	264	24
914	265	24
915	265	24
916	265	24
917	266	23
918	266	23
919	266	23
920	267	22
921	267	22
922	267	22
923	267	22
924	268	21
925	268	21
926	268	21
927	268	20
928	269	20
929	269	20
930	269	19
931	270	19
932	270	19
933	270	19
934	270	18
935	271	18
936	271	18
937	271	17
938	272	17
939	272	17
940	272	17
941	272	16
942	273	16
943	273	16
944	273	15
945	274	15
946	274	15
947	274	15
948	275	14
949	275	14
950	275	14
951	275	13
952	276	13
953	276	13
954	276	13
955	277	12
956	277	12
957	277	12
958	277	11
959	278	11
960	278	11
961	278	11
962	278	10
963	279	10
964	279	10
965	279	9
966	279	9
967	280	9
968	280	8
969	280	8
970	281	8
971	281	8
972	281	7
973	281	7
974	282	7
975	282	6
976	282	6
977	282	6
978	283	6
979	283	5
980	283	5
981	284	5
982	284	4
983	284	4
984	284	4
985	285	4
986	285	3
987	285	3
988	286	3
989	286	2
990	286	2
991	286	2
992	287	2
993	287	1
994	287	1
995	287	1
996	288	0
997	288	0
998	288	0
999	288	0
